Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
8.8093	0.10000	999.80	0.0010002	37.021	37.121	0.13339	4.1942	4.1972	1442.5	-0.23348	1351.9	0.57625	liquid
9.0092	0.10000	999.78	0.0010002	37.860	37.960	0.13637	4.1936	4.1968	1443.3	-0.23332	1344.0	0.57668	liquid
9.2092	0.10000	999.77	0.0010002	38.700	38.800	0.13934	4.1930	4.1965	1444.1	-0.23315	1336.2	0.57711	liquid
9.4092	0.10000	999.75	0.0010002	39.539	39.639	0.14231	4.1924	4.1961	1444.9	-0.23299	1328.4	0.57753	liquid
9.6092	0.10000	999.74	0.0010003	40.378	40.478	0.14528	4.1918	4.1958	1445.7	-0.23282	1320.7	0.57795	liquid
9.8092	0.10000	999.72	0.0010003	41.217	41.317	0.14825	4.1912	4.1955	1446.5	-0.23266	1313.1	0.57838	liquid
10.009	0.10000	999.70	0.0010003	42.056	42.156	0.15121	4.1906	4.1951	1447.3	-0.23250	1305.6	0.57880	liquid
10.209	0.10000	999.68	0.0010003	42.895	42.995	0.15417	4.1899	4.1948	1448.1	-0.23233	1298.1	0.57921	liquid
10.409	0.10000	999.66	0.0010003	43.734	43.834	0.15713	4.1893	4.1945	1448.9	-0.23217	1290.7	0.57963	liquid
10.609	0.10000	999.65	0.0010004	44.573	44.673	0.16009	4.1887	4.1942	1449.7	-0.23201	1283.3	0.58005	liquid
10.809	0.10000	999.63	0.0010004	45.411	45.511	0.16305	4.1881	4.1939	1450.4	-0.23185	1276.0	0.58046	liquid
11.009	0.10000	999.61	0.0010004	46.250	46.350	0.16600	4.1875	4.1936	1451.2	-0.23169	1268.8	0.58087	liquid
11.209	0.10000	999.59	0.0010004	47.089	47.189	0.16895	4.1868	4.1933	1452.0	-0.23153	1261.7	0.58128	liquid
11.409	0.10000	999.56	0.0010004	47.927	48.027	0.17190	4.1862	4.1930	1452.8	-0.23137	1254.6	0.58169	liquid
11.609	0.10000	999.54	0.0010005	48.766	48.866	0.17484	4.1856	4.1927	1453.5	-0.23121	1247.6	0.58210	liquid
11.809	0.10000	999.52	0.0010005	49.604	49.704	0.17779	4.1849	4.1924	1454.3	-0.23105	1240.6	0.58251	liquid
12.009	0.10000	999.50	0.0010005	50.443	50.543	0.18073	4.1843	4.1921	1455.0	-0.23089	1233.7	0.58291	liquid
12.209	0.10000	999.48	0.0010005	51.281	51.381	0.18367	4.1837	4.1919	1455.8	-0.23073	1226.9	0.58331	liquid
12.409	0.10000	999.45	0.0010005	52.119	52.219	0.18660	4.1830	4.1916	1456.6	-0.23058	1220.1	0.58372	liquid
12.609	0.10000	999.43	0.0010006	52.957	53.057	0.18954	4.1824	4.1913	1457.3	-0.23042	1213.4	0.58412	liquid
12.809	0.10000	999.40	0.0010006	53.796	53.896	0.19247	4.1817	4.1911	1458.0	-0.23026	1206.8	0.58452	liquid
13.009	0.10000	999.38	0.0010006	54.634	54.734	0.19540	4.1811	4.1908	1458.8	-0.23011	1200.2	0.58491	liquid
13.209	0.10000	999.35	0.0010006	55.472	55.572	0.19833	4.1804	4.1906	1459.5	-0.22995	1193.6	0.58531	liquid
13.409	0.10000	999.33	0.0010007	56.310	56.410	0.20125	4.1797	4.1903	1460.2	-0.22980	1187.2	0.58571	liquid
13.609	0.10000	999.30	0.0010007	57.148	57.248	0.20417	4.1791	4.1901	1461.0	-0.22964	1180.7	0.58610	liquid
13.809	0.10000	999.27	0.0010007	57.986	58.086	0.20710	4.1784	4.1898	1461.7	-0.22949	1174.4	0.58649	liquid
14.009	0.10000	999.25	0.0010008	58.823	58.924	0.21001	4.1778	4.1896	1462.4	-0.22933	1168.1	0.58688	liquid
14.209	0.10000	999.22	0.0010008	59.661	59.761	0.21293	4.1771	4.1894	1463.1	-0.22918	1161.8	0.58727	liquid
14.409	0.10000	999.19	0.0010008	60.499	60.599	0.21585	4.1764	4.1891	1463.8	-0.22903	1155.6	0.58766	liquid
14.609	0.10000	999.16	0.0010008	61.337	61.437	0.21876	4.1757	4.1889	1464.6	-0.22888	1149.4	0.58805	liquid
14.809	0.10000	999.13	0.0010009	62.174	62.275	0.22167	4.1751	4.1887	1465.3	-0.22872	1143.4	0.58843	liquid
15.009	0.10000	999.10	0.0010009	63.012	63.112	0.22458	4.1744	4.1885	1466.0	-0.22857	1137.3	0.58882	liquid
15.209	0.10000	999.07	0.0010009	63.850	63.950	0.22748	4.1737	4.1882	1466.7	-0.22842	1131.3	0.58920	liquid
15.409	0.10000	999.04	0.0010010	64.687	64.787	0.23038	4.1730	4.1880	1467.4	-0.22827	1125.4	0.58958	liquid
15.609	0.10000	999.01	0.0010010	65.525	65.625	0.23329	4.1723	4.1878	1468.0	-0.22812	1119.5	0.58996	liquid
15.809	0.10000	998.98	0.0010010	66.362	66.462	0.23619	4.1717	4.1876	1468.7	-0.22797	1113.6	0.59034	liquid
16.009	0.10000	998.94	0.0010011	67.200	67.300	0.23908	4.1710	4.1874	1469.4	-0.22782	1107.8	0.59072	liquid
16.209	0.10000	998.91	0.0010011	68.037	68.137	0.24198	4.1703	4.1872	1470.1	-0.22767	1102.1	0.59110	liquid
16.409	0.10000	998.88	0.0010011	68.874	68.975	0.24487	4.1696	4.1870	1470.8	-0.22752	1096.4	0.59147	liquid
16.609	0.10000	998.84	0.0010012	69.712	69.812	0.24776	4.1689	4.1868	1471.4	-0.22737	1090.7	0.59185	liquid
16.809	0.10000	998.81	0.0010012	70.549	70.649	0.25065	4.1682	4.1866	1472.1	-0.22723	1085.1	0.59222	liquid
17.009	0.10000	998.78	0.0010012	71.386	71.486	0.25354	4.1675	4.1865	1472.8	-0.22708	1079.6	0.59259	liquid
17.209	0.10000	998.74	0.0010013	72.223	72.324	0.25642	4.1668	4.1863	1473.4	-0.22693	1074.1	0.59296	liquid
17.409	0.10000	998.71	0.0010013	73.061	73.161	0.25930	4.1661	4.1861	1474.1	-0.22679	1068.6	0.59333	liquid
17.609	0.10000	998.67	0.0010013	73.898	73.998	0.26218	4.1654	4.1859	1474.8	-0.22664	1063.2	0.59370	liquid
17.809	0.10000	998.63	0.0010014	74.735	74.835	0.26506	4.1646	4.1858	1475.4	-0.22649	1057.8	0.59407	liquid
18.008	0.10000	998.60	0.0010014	75.572	75.672	0.26794	4.1639	4.1856	1476.1	-0.22635	1052.4	0.59443	liquid
18.208	0.10000	998.56	0.0010014	76.409	76.509	0.27081	4.1632	4.1854	1476.7	-0.22620	1047.2	0.59480	liquid
18.408	0.10000	998.52	0.0010015	77.246	77.346	0.27368	4.1625	4.1853	1477.4	-0.22606	1041.9	0.59516	liquid
18.608	0.10000	998.48	0.0010015	78.083	78.183	0.27655	4.1618	4.1851	1478.0	-0.22591	1036.7	0.59552	liquid
18.808	0.10000	998.44	0.0010016	78.920	79.020	0.27942	4.1610	4.1849	1478.6	-0.22577	1031.5	0.59588	liquid
19.008	0.10000	998.41	0.0010016	79.757	79.857	0.28229	4.1603	4.1848	1479.3	-0.22562	1026.4	0.59624	liquid
19.208	0.10000	998.37	0.0010016	80.594	80.694	0.28515	4.1596	4.1846	1479.9	-0.22548	1021.3	0.59660	liquid
19.408	0.10000	998.33	0.0010017	81.430	81.531	0.28801	4.1589	4.1845	1480.5	-0.22534	1016.3	0.59696	liquid
19.608	0.10000	998.29	0.0010017	82.267	82.367	0.29087	4.1581	4.1843	1481.1	-0.22520	1011.3	0.59732	liquid
19.808	0.10000	998.25	0.0010018	83.104	83.204	0.29373	4.1574	4.1842	1481.8	-0.22505	1006.3	0.59767	liquid
20.008	0.10000	998.20	0.0010018	83.941	84.041	0.29658	4.1567	4.1840	1482.4	-0.22491	1001.4	0.59803	liquid
20.208	0.10000	998.16	0.0010018	84.777	84.878	0.29944	4.1559	4.1839	1483.0	-0.22477	996.51	0.59838	liquid
20.408	0.10000	998.12	0.0010019	85.614	85.714	0.30229	4.1552	4.1838	1483.6	-0.22463	991.66	0.59873	liquid
20.608	0.10000	998.08	0.0010019	86.451	86.551	0.30514	4.1544	4.1836	1484.2	-0.22449	986.85	0.59908	liquid
20.808	0.10000	998.04	0.0010020	87.287	87.388	0.30798	4.1537	4.1835	1484.8	-0.22435	982.08	0.59943	liquid
21.008	0.10000	997.99	0.0010020	88.124	88.224	0.31083	4.1529	4.1834	1485.4	-0.22421	977.34	0.59978	liquid
21.208	0.10000	997.95	0.0010021	88.961	89.061	0.31367	4.1522	4.1833	1486.0	-0.22407	972.64	0.60013	liquid
21.408	0.10000	997.91	0.0010021	89.797	89.897	0.31651	4.1514	4.1831	1486.6	-0.22393	967.98	0.60047	liquid
21.608	0.10000	997.86	0.0010021	90.634	90.734	0.31935	4.1507	4.1830	1487.2	-0.22379	963.36	0.60082	liquid
21.808	0.10000	997.82	0.0010022	91.470	91.571	0.32219	4.1499	4.1829	1487.8	-0.22365	958.77	0.60116	liquid
22.008	0.10000	997.77	0.0010022	92.307	92.407	0.32502	4.1492	4.1828	1488.3	-0.22351	954.21	0.60151	liquid
22.208	0.10000	997.73	0.0010023	93.143	93.243	0.32786	4.1484	4.1827	1488.9	-0.22337	949.69	0.60185	liquid
22.408	0.10000	997.68	0.0010023	93.980	94.080	0.33069	4.1476	4.1826	1489.5	-0.22323	945.20	0.60219	liquid
22.608	0.10000	997.63	0.0010024	94.816	94.916	0.33352	4.1469	4.1824	1490.1	-0.22309	940.75	0.60253	liquid
22.808	0.10000	997.59	0.0010024	95.653	95.753	0.33634	4.1461	4.1823	1490.6	-0.22296	936.33	0.60287	liquid
