Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
-27.733	0.10000	1.5705	0.63674	159.00	222.67	6.2322	0.65282	0.91477	298.48	3.8553	17.523	0.022085	vapor
-27.467	0.10000	1.5688	0.63743	159.17	222.91	6.2332	0.65283	0.91478	298.65	3.8478	17.539	0.022107	vapor
-27.200	0.10000	1.5671	0.63813	159.34	223.16	6.2342	0.65285	0.91479	298.81	3.8403	17.555	0.022129	vapor
-26.933	0.10000	1.5654	0.63882	159.52	223.40	6.2351	0.65287	0.91480	298.97	3.8329	17.570	0.022151	vapor
-26.667	0.10000	1.5637	0.63952	159.69	223.64	6.2361	0.65289	0.91481	299.13	3.8255	17.586	0.022173	vapor
-26.400	0.10000	1.5620	0.64022	159.87	223.89	6.2371	0.65290	0.91483	299.29	3.8181	17.602	0.022195	vapor
-26.133	0.10000	1.5603	0.64091	160.04	224.13	6.2381	0.65292	0.91484	299.45	3.8107	17.618	0.022217	vapor
-25.867	0.10000	1.5586	0.64161	160.22	224.38	6.2391	0.65294	0.91485	299.61	3.8034	17.634	0.022239	vapor
-25.600	0.10000	1.5569	0.64230	160.39	224.62	6.2401	0.65296	0.91486	299.78	3.7960	17.650	0.022261	vapor
-25.333	0.10000	1.5552	0.64300	160.56	224.86	6.2411	0.65298	0.91488	299.94	3.7887	17.666	0.022283	vapor
-25.067	0.10000	1.5535	0.64369	160.74	225.11	6.2421	0.65300	0.91489	300.10	3.7814	17.681	0.022305	vapor
-24.800	0.10000	1.5519	0.64439	160.91	225.35	6.2430	0.65301	0.91490	300.26	3.7741	17.697	0.022327	vapor
-24.533	0.10000	1.5502	0.64509	161.09	225.60	6.2440	0.65303	0.91492	300.42	3.7669	17.713	0.022349	vapor
-24.267	0.10000	1.5485	0.64578	161.26	225.84	6.2450	0.65305	0.91493	300.58	3.7596	17.729	0.022371	vapor
-24.000	0.10000	1.5468	0.64648	161.44	226.08	6.2460	0.65307	0.91494	300.74	3.7524	17.745	0.022393	vapor
-23.733	0.10000	1.5452	0.64717	161.61	226.33	6.2470	0.65309	0.91496	300.90	3.7452	17.761	0.022415	vapor
-23.467	0.10000	1.5435	0.64787	161.79	226.57	6.2479	0.65311	0.91497	301.06	3.7380	17.776	0.022437	vapor
-23.200	0.10000	1.5419	0.64856	161.96	226.82	6.2489	0.65313	0.91498	301.22	3.7308	17.792	0.022459	vapor
-22.933	0.10000	1.5402	0.64926	162.13	227.06	6.2499	0.65315	0.91500	301.38	3.7237	17.808	0.022481	vapor
-22.667	0.10000	1.5386	0.64995	162.31	227.30	6.2509	0.65317	0.91501	301.54	3.7166	17.824	0.022503	vapor
-22.400	0.10000	1.5369	0.65065	162.48	227.55	6.2518	0.65319	0.91503	301.70	3.7095	17.840	0.022525	vapor
-22.133	0.10000	1.5353	0.65135	162.66	227.79	6.2528	0.65320	0.91504	301.86	3.7024	17.855	0.022547	vapor
-21.867	0.10000	1.5336	0.65204	162.83	228.04	6.2538	0.65322	0.91506	302.02	3.6953	17.871	0.022569	vapor
-21.600	0.10000	1.5320	0.65274	163.01	228.28	6.2548	0.65324	0.91507	302.18	3.6883	17.887	0.022591	vapor
-21.333	0.10000	1.5304	0.65343	163.18	228.52	6.2557	0.65326	0.91509	302.34	3.6812	17.903	0.022613	vapor
-21.067	0.10000	1.5288	0.65413	163.36	228.77	6.2567	0.65328	0.91510	302.50	3.6742	17.918	0.022635	vapor
-20.800	0.10000	1.5271	0.65482	163.53	229.01	6.2577	0.65330	0.91512	302.66	3.6672	17.934	0.022657	vapor
-20.533	0.10000	1.5255	0.65552	163.70	229.26	6.2586	0.65332	0.91513	302.82	3.6602	17.950	0.022679	vapor
-20.267	0.10000	1.5239	0.65621	163.88	229.50	6.2596	0.65334	0.91515	302.98	3.6533	17.965	0.022701	vapor
-20.000	0.10000	1.5223	0.65691	164.05	229.74	6.2606	0.65337	0.91516	303.14	3.6463	17.981	0.022723	vapor
-19.733	0.10000	1.5207	0.65761	164.23	229.99	6.2615	0.65339	0.91518	303.30	3.6394	17.997	0.022744	vapor
-19.467	0.10000	1.5191	0.65830	164.40	230.23	6.2625	0.65341	0.91519	303.46	3.6325	18.013	0.022766	vapor
-19.200	0.10000	1.5175	0.65900	164.58	230.48	6.2634	0.65343	0.91521	303.61	3.6256	18.028	0.022788	vapor
-18.933	0.10000	1.5159	0.65969	164.75	230.72	6.2644	0.65345	0.91522	303.77	3.6187	18.044	0.022810	vapor
-18.667	0.10000	1.5143	0.66039	164.93	230.96	6.2654	0.65347	0.91524	303.93	3.6119	18.060	0.022832	vapor
-18.400	0.10000	1.5127	0.66108	165.10	231.21	6.2663	0.65349	0.91526	304.09	3.6050	18.075	0.022854	vapor
-18.133	0.10000	1.5111	0.66178	165.28	231.45	6.2673	0.65351	0.91527	304.25	3.5982	18.091	0.022876	vapor
-17.867	0.10000	1.5095	0.66247	165.45	231.70	6.2682	0.65353	0.91529	304.41	3.5914	18.107	0.022898	vapor
-17.600	0.10000	1.5079	0.66317	165.62	231.94	6.2692	0.65355	0.91531	304.57	3.5846	18.122	0.022919	vapor
-17.333	0.10000	1.5063	0.66386	165.80	232.19	6.2701	0.65358	0.91532	304.72	3.5779	18.138	0.022941	vapor
-17.067	0.10000	1.5048	0.66456	165.97	232.43	6.2711	0.65360	0.91534	304.88	3.5711	18.154	0.022963	vapor
-16.800	0.10000	1.5032	0.66526	166.15	232.67	6.2721	0.65362	0.91536	305.04	3.5644	18.169	0.022985	vapor
-16.533	0.10000	1.5016	0.66595	166.32	232.92	6.2730	0.65364	0.91537	305.20	3.5577	18.185	0.023007	vapor
-16.267	0.10000	1.5000	0.66665	166.50	233.16	6.2740	0.65366	0.91539	305.36	3.5510	18.201	0.023029	vapor
-16.000	0.10000	1.4985	0.66734	166.67	233.41	6.2749	0.65369	0.91541	305.51	3.5443	18.216	0.023050	vapor
-15.733	0.10000	1.4969	0.66804	166.85	233.65	6.2759	0.65371	0.91543	305.67	3.5376	18.232	0.023072	vapor
-15.467	0.10000	1.4954	0.66873	167.02	233.89	6.2768	0.65373	0.91544	305.83	3.5310	18.248	0.023094	vapor
-15.200	0.10000	1.4938	0.66943	167.20	234.14	6.2777	0.65375	0.91546	305.99	3.5243	18.263	0.023116	vapor
-14.933	0.10000	1.4923	0.67012	167.37	234.38	6.2787	0.65377	0.91548	306.14	3.5177	18.279	0.023138	vapor
-14.667	0.10000	1.4907	0.67082	167.54	234.63	6.2796	0.65380	0.91550	306.30	3.5111	18.294	0.023159	vapor
-14.400	0.10000	1.4892	0.67151	167.72	234.87	6.2806	0.65382	0.91552	306.46	3.5045	18.310	0.023181	vapor
-14.133	0.10000	1.4876	0.67221	167.89	235.11	6.2815	0.65384	0.91553	306.62	3.4980	18.326	0.023203	vapor
-13.867	0.10000	1.4861	0.67290	168.07	235.36	6.2825	0.65387	0.91555	306.77	3.4914	18.341	0.023225	vapor
-13.600	0.10000	1.4846	0.67360	168.24	235.60	6.2834	0.65389	0.91557	306.93	3.4849	18.357	0.023246	vapor
-13.333	0.10000	1.4830	0.67430	168.42	235.85	6.2843	0.65391	0.91559	307.09	3.4784	18.372	0.023268	vapor
-13.067	0.10000	1.4815	0.67499	168.59	236.09	6.2853	0.65394	0.91561	307.24	3.4719	18.388	0.023290	vapor
-12.800	0.10000	1.4800	0.67569	168.77	236.34	6.2862	0.65396	0.91563	307.40	3.4654	18.403	0.023312	vapor
-12.533	0.10000	1.4785	0.67638	168.94	236.58	6.2872	0.65398	0.91565	307.56	3.4589	18.419	0.023333	vapor
-12.267	0.10000	1.4769	0.67708	169.12	236.82	6.2881	0.65401	0.91566	307.71	3.4525	18.434	0.023355	vapor
-12.000	0.10000	1.4754	0.67777	169.29	237.07	6.2890	0.65403	0.91568	307.87	3.4461	18.450	0.023377	vapor
-11.733	0.10000	1.4739	0.67847	169.47	237.31	6.2900	0.65405	0.91570	308.02	3.4396	18.465	0.023399	vapor
-11.467	0.10000	1.4724	0.67916	169.64	237.56	6.2909	0.65408	0.91572	308.18	3.4332	18.481	0.023420	vapor
-11.200	0.10000	1.4709	0.67986	169.81	237.80	6.2918	0.65410	0.91574	308.34	3.4268	18.497	0.023442	vapor
-10.933	0.10000	1.4694	0.68055	169.99	238.04	6.2928	0.65413	0.91576	308.49	3.4205	18.512	0.023464	vapor
-10.667	0.10000	1.4679	0.68125	170.16	238.29	6.2937	0.65415	0.91578	308.65	3.4141	18.528	0.023485	vapor
-10.400	0.10000	1.4664	0.68194	170.34	238.53	6.2946	0.65417	0.91580	308.80	3.4078	18.543	0.023507	vapor
-10.133	0.10000	1.4649	0.68264	170.51	238.78	6.2956	0.65420	0.91582	308.96	3.4015	18.559	0.023529	vapor
-9.8667	0.10000	1.4634	0.68333	170.69	239.02	6.2965	0.65422	0.91584	309.12	3.3951	18.574	0.023551	vapor
-9.6000	0.10000	1.4619	0.68403	170.86	239.27	6.2974	0.65425	0.91586	309.27	3.3889	18.590	0.023572	vapor
-9.3333	0.10000	1.4604	0.68472	171.04	239.51	6.2983	0.65427	0.91588	309.43	3.3826	18.605	0.023594	vapor
-9.0667	0.10000	1.4590	0.68542	171.21	239.75	6.2993	0.65430	0.91590	309.58	3.3763	18.620	0.023616	vapor
-8.8000	0.10000	1.4575	0.68611	171.39	240.00	6.3002	0.65432	0.91593	309.74	3.3701	18.636	0.023637	vapor
-8.5333	0.10000	1.4560	0.68681	171.56	240.24	6.3011	0.65435	0.91595	309.89	3.3638	18.651	0.023659	vapor
-8.2667	0.10000	1.4545	0.68751	171.74	240.49	6.3020	0.65437	0.91597	310.05	3.3576	18.667	0.023681	vapor
-8.0000	0.10000	1.4531	0.68820	171.91	240.73	6.3030	0.65440	0.91599	310.20	3.3514	18.682	0.023702	vapor
-7.7333	0.10000	1.4516	0.68890	172.09	240.98	6.3039	0.65443	0.91601	310.36	3.3452	18.698	0.023724	vapor
-7.4667	0.10000	1.4501	0.68959	172.26	241.22	6.3048	0.65445	0.91603	310.51	3.3391	18.713	0.023745	vapor
-7.2000	0.10000	1.4487	0.69029	172.44	241.46	6.3057	0.65448	0.91605	310.67	3.3329	18.729	0.023767	vapor
-6.9333	0.10000	1.4472	0.69098	172.61	241.71	6.3066	0.65450	0.91607	310.82	3.3268	18.744	0.023789	vapor
-6.6667	0.10000	1.4458	0.69168	172.79	241.95	6.3076	0.65453	0.91610	310.98	3.3206	18.759	0.023810	vapor
-6.4000	0.10000	1.4443	0.69237	172.96	242.20	6.3085	0.65456	0.91612	311.13	3.3145	18.775	0.023832	vapor
-6.1333	0.10000	1.4429	0.69307	173.13	242.44	6.3094	0.65458	0.91614	311.29	3.3084	18.790	0.023854	vapor
-5.8667	0.10000	1.4414	0.69376	173.31	242.69	6.3103	0.65461	0.91616	311.44	3.3023	18.806	0.023875	vapor
-5.6000	0.10000	1.4400	0.69446	173.48	242.93	6.3112	0.65463	0.91619	311.59	3.2963	18.821	0.023897	vapor
-5.3333	0.10000	1.4385	0.69515	173.66	243.17	6.3121	0.65466	0.91621	311.75	3.2902	18.836	0.023918	vapor
-5.0667	0.10000	1.4371	0.69585	173.83	243.42	6.3130	0.65469	0.91623	311.90	3.2842	18.852	0.023940	vapor
-4.8000	0.10000	1.4357	0.69654	174.01	243.66	6.3139	0.65471	0.91625	312.06	3.2782	18.867	0.023962	vapor
-4.5333	0.10000	1.4342	0.69724	174.18	243.91	6.3149	0.65474	0.91628	312.21	3.2722	18.883	0.023983	vapor
-4.2667	0.10000	1.4328	0.69793	174.36	244.15	6.3158	0.65477	0.91630	312.36	3.2662	18.898	0.024005	vapor
-4.0000	0.10000	1.4314	0.69863	174.53	244.40	6.3167	0.65480	0.91632	312.52	3.2602	18.913	0.024026	vapor
-3.7333	0.10000	1.4300	0.69932	174.71	244.64	6.3176	0.65482	0.91635	312.67	3.2542	18.929	0.024048	vapor
-3.4667	0.10000	1.4285	0.70002	174.88	244.88	6.3185	0.65485	0.91637	312.82	3.2483	18.944	0.024069	vapor
-3.2000	0.10000	1.4271	0.70071	175.06	245.13	6.3194	0.65488	0.91639	312.98	3.2423	18.959	0.024091	vapor
-2.9333	0.10000	1.4257	0.70141	175.23	245.37	6.3203	0.65491	0.91642	313.13	3.2364	18.975	0.024112	vapor
-2.6667	0.10000	1.4243	0.70210	175.41	245.62	6.3212	0.65493	0.91644	313.28	3.2305	18.990	0.024134	vapor
-2.4000	0.10000	1.4229	0.70280	175.58	245.86	6.3221	0.65496	0.91646	313.44	3.2246	19.005	0.024156	vapor
-2.1333	0.10000	1.4215	0.70349	175.76	246.11	6.3230	0.65499	0.91649	313.59	3.2187	19.021	0.024177	vapor
-1.8667	0.10000	1.4201	0.70419	175.93	246.35	6.3239	0.65502	0.91651	313.74	3.2128	19.036	0.024199	vapor
-1.6000	0.10000	1.4187	0.70488	176.11	246.60	6.3248	0.65505	0.91654	313.90	3.2070	19.051	0.024220	vapor
-1.3333	0.10000	1.4173	0.70558	176.28	246.84	6.3257	0.65507	0.91656	314.05	3.2011	19.067	0.024242	vapor
-1.0667	0.10000	1.4159	0.70627	176.46	247.08	6.3266	0.65510	0.91659	314.20	3.1953	19.082	0.024263	vapor
-0.80000	0.10000	1.4145	0.70697	176.63	247.33	6.3275	0.65513	0.91661	314.35	3.1895	19.097	0.024285	vapor
-0.53333	0.10000	1.4131	0.70766	176.81	247.57	6.3284	0.65516	0.91664	314.51	3.1837	19.112	0.024306	vapor
