Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.10000	17.200	13.721	0.072880	2399.1	3652.6	30.787	10.223	14.633	1416.9	-0.36372	8.7082	0.18817	supercritical
0.10000	17.400	13.864	0.072132	2398.6	3653.7	30.737	10.225	14.637	1418.8	-0.36487	8.7140	0.18832	supercritical
0.10000	17.600	14.006	0.071400	2398.1	3654.8	30.689	10.227	14.640	1420.6	-0.36601	8.7198	0.18847	supercritical
0.10000	17.800	14.147	0.070685	2397.6	3655.8	30.641	10.228	14.644	1422.5	-0.36713	8.7256	0.18862	supercritical
0.10000	18.000	14.289	0.069986	2397.2	3656.9	30.593	10.230	14.647	1424.4	-0.36826	8.7314	0.18877	supercritical
0.10000	18.200	14.430	0.069302	2396.7	3658.0	30.546	10.232	14.651	1426.3	-0.36937	8.7373	0.18893	supercritical
0.10000	18.400	14.570	0.068633	2396.2	3659.1	30.500	10.233	14.654	1428.2	-0.37048	8.7432	0.18908	supercritical
0.10000	18.600	14.710	0.067979	2395.8	3660.2	30.454	10.235	14.657	1430.0	-0.37157	8.7491	0.18923	supercritical
0.10000	18.800	14.850	0.067339	2395.3	3661.3	30.408	10.237	14.661	1431.9	-0.37266	8.7551	0.18939	supercritical
0.10000	19.000	14.990	0.066712	2394.8	3662.4	30.363	10.239	14.664	1433.8	-0.37375	8.7611	0.18954	supercritical
0.10000	19.200	15.129	0.066098	2394.4	3663.4	30.318	10.240	14.667	1435.7	-0.37482	8.7672	0.18970	supercritical
0.10000	19.400	15.268	0.065497	2393.9	3664.6	30.274	10.242	14.670	1437.5	-0.37589	8.7732	0.18985	supercritical
0.10000	19.600	15.406	0.064909	2393.4	3665.7	30.231	10.244	14.674	1439.4	-0.37695	8.7793	0.19001	supercritical
0.10000	19.800	15.544	0.064332	2393.0	3666.8	30.187	10.246	14.677	1441.3	-0.37800	8.7854	0.19016	supercritical
0.10000	20.000	15.682	0.063767	2392.5	3667.9	30.145	10.247	14.680	1443.2	-0.37904	8.7916	0.19032	supercritical
0.10000	20.200	15.819	0.063213	2392.1	3669.0	30.102	10.249	14.683	1445.1	-0.38008	8.7978	0.19048	supercritical
0.10000	20.400	15.956	0.062671	2391.6	3670.1	30.060	10.251	14.686	1446.9	-0.38110	8.8040	0.19064	supercritical
0.10000	20.600	16.093	0.062138	2391.2	3671.2	30.019	10.252	14.689	1448.8	-0.38212	8.8102	0.19080	supercritical
0.10000	20.800	16.229	0.061616	2390.7	3672.4	29.977	10.254	14.692	1450.7	-0.38314	8.8165	0.19096	supercritical
0.10000	21.000	16.365	0.061104	2390.3	3673.5	29.937	10.256	14.695	1452.6	-0.38414	8.8228	0.19112	supercritical
0.10000	21.200	16.501	0.060602	2389.8	3674.6	29.896	10.258	14.698	1454.5	-0.38514	8.8291	0.19128	supercritical
0.10000	21.400	16.636	0.060109	2389.4	3675.7	29.856	10.259	14.701	1456.3	-0.38613	8.8355	0.19145	supercritical
0.10000	21.600	16.771	0.059625	2389.0	3676.9	29.817	10.261	14.704	1458.2	-0.38711	8.8418	0.19161	supercritical
0.10000	21.800	16.906	0.059151	2388.5	3678.0	29.777	10.263	14.707	1460.1	-0.38809	8.8482	0.19177	supercritical
0.10000	22.000	17.040	0.058685	2388.1	3679.2	29.738	10.264	14.710	1462.0	-0.38906	8.8547	0.19194	supercritical
0.10000	22.200	17.174	0.058227	2387.7	3680.3	29.700	10.266	14.713	1463.8	-0.39002	8.8611	0.19210	supercritical
0.10000	22.400	17.308	0.057777	2387.2	3681.5	29.662	10.268	14.716	1465.7	-0.39097	8.8676	0.19227	supercritical
0.10000	22.600	17.441	0.057336	2386.8	3682.6	29.624	10.269	14.718	1467.6	-0.39192	8.8741	0.19243	supercritical
